iter	Passed	Remaining
0	0	69
1	1	65
2	1	62
3	2	57
4	2	56
5	3	55
6	4	54
7	4	54
8	5	53
9	5	53
10	6	52
11	7	51
12	7	51
13	8	50
14	8	50
15	9	49
16	10	49
17	10	48
18	11	47
19	11	47
20	12	46
21	13	46
22	13	45
23	14	45
24	14	44
25	15	43
26	16	43
27	16	42
28	17	42
29	17	41
30	18	40
31	19	40
32	19	39
33	20	39
34	20	38
35	21	37
36	22	37
37	22	36
38	23	36
39	23	35
40	24	35
41	24	34
42	25	33
43	25	32
44	26	32
45	27	31
46	27	31
47	28	30
48	29	30
49	29	29
50	30	29
51	31	28
52	31	28
53	32	27
54	32	26
55	33	26
56	34	25
57	34	25
58	35	24
59	36	24
60	36	23
61	37	22
62	38	22
63	38	21
64	39	21
65	40	20
66	40	20
67	41	19
68	42	18
69	42	18
70	43	17
71	44	17
72	44	16
73	45	15
74	45	15
75	46	14
76	47	14
77	47	13
78	48	12
79	48	12
80	49	11
81	50	10
82	50	10
83	51	9
84	51	9
85	52	8
86	53	7
87	53	7
88	54	6
89	54	6
90	55	5
91	56	4
92	56	4
93	57	3
94	57	3
95	58	2
96	58	1
97	59	1
98	60	0
99	60	0
